"depth","shrinkage","nTree","loss","auroc","auprc","occ.corr","det.corr","occ.MAE","det.MAE","bag.frac","nSites","nVisits"
NA,NA,1,0.670836711687316,0.744523994523995,0.456058461177659,NA,NA,NA,NA,0.7758,295,3
NA,NA,10,0.405395084453993,0.908887408887409,0.795467079322229,NA,NA,NA,NA,0.7758,295,3
NA,NA,100,0.0685832237048013,0.999666999667,0.996057686388925,NA,NA,NA,NA,0.7758,295,3
NA,NA,1000,0.00728003736015962,1,1,NA,NA,NA,NA,0.7758,295,3
NA,NA,101,0.0677917058104673,0.999666999667,0.996057686388925,NA,NA,NA,NA,0.7758,295,3
NA,NA,102,0.0725713699302293,0.9996854996855,0.996304068774388,NA,NA,NA,NA,0.7758,295,3
NA,NA,103,0.0753776446380249,0.9996854996855,0.996304068774388,NA,NA,NA,NA,0.7758,295,3
NA,NA,104,0.0746646630744279,0.999703999704,0.996485314777551,NA,NA,NA,NA,0.7758,295,3
NA,NA,105,0.0779368525395217,0.999703999704,0.996485314777551,NA,NA,NA,NA,0.7758,295,3
NA,NA,106,0.0652507192947789,0.999703999704,0.996538871680562,NA,NA,NA,NA,0.7758,295,3
NA,NA,107,0.0734722326713683,0.9997594997595,0.997240280079917,NA,NA,NA,NA,0.7758,295,3
NA,NA,108,0.0658734684623152,0.9997594997595,0.997240280079917,NA,NA,NA,NA,0.7758,295,3
NA,NA,109,0.0653575359759957,0.9997594997595,0.997240280079917,NA,NA,NA,NA,0.7758,295,3
NA,NA,11,0.379930373605624,0.934269434269434,0.823949301381365,NA,NA,NA,NA,0.7758,295,3
NA,NA,110,0.0748013774276425,0.9997594997595,0.997240280079917,NA,NA,NA,NA,0.7758,295,3
NA,NA,111,0.0788257122015542,0.9997594997595,0.997240280079917,NA,NA,NA,NA,0.7758,295,3
NA,NA,112,0.0662507538709204,0.999777999778,0.997478901412288,NA,NA,NA,NA,0.7758,295,3
NA,NA,113,0.0718281335338956,0.999777999778,0.997478901412288,NA,NA,NA,NA,0.7758,295,3
NA,NA,114,0.066986183437602,0.9997594997595,0.997302457025318,NA,NA,NA,NA,0.7758,295,3
NA,NA,115,0.0740329462605633,0.999703999704,0.996800098328422,NA,NA,NA,NA,0.7758,295,3
NA,NA,116,0.0681328690024074,0.999703999704,0.996800098328422,NA,NA,NA,NA,0.7758,295,3
NA,NA,117,0.0642311272932248,0.999703999704,0.996800098328422,NA,NA,NA,NA,0.7758,295,3
NA,NA,118,0.0703243585373808,0.999703999704,0.996800098328422,NA,NA,NA,NA,0.7758,295,3
NA,NA,119,0.0693337049058358,0.9997224997225,0.99696322953298,NA,NA,NA,NA,0.7758,295,3
NA,NA,12,0.359385199125001,0.934139934139934,0.827000283306973,NA,NA,NA,NA,0.7758,295,3
NA,NA,120,0.0693577795368077,0.9997224997225,0.99696322953298,NA,NA,NA,NA,0.7758,295,3
NA,NA,121,0.0653159276007877,0.9997224997225,0.99696322953298,NA,NA,NA,NA,0.7758,295,3
NA,NA,122,0.0650204424545993,0.999740999741,0.99718760563931,NA,NA,NA,NA,0.7758,295,3
