"depth","shrinkage","nTree","loss","auroc","auprc","occ.corr","det.corr","occ.MAE","det.MAE","bag.frac","nSites","nVisits"
NA,NA,1,1.24705558677887,0.888433404449863,0.638957901027416,NA,NA,NA,NA,1,314,3
NA,NA,10,1.15033567650768,0.896030173727522,0.681905685458831,NA,NA,NA,NA,1,314,3
NA,NA,100,0.82605016167753,0.908019658640658,0.751210338370077,NA,NA,NA,NA,1,314,3
NA,NA,1000,0.448350623351351,0.940845016763182,0.869119768806711,NA,NA,NA,NA,1,314,3
NA,NA,101,0.824332274256008,0.908758762572386,0.753364879389795,NA,NA,NA,NA,1,314,3
NA,NA,102,0.82279821993847,0.908850198110332,0.753345711454611,NA,NA,NA,NA,1,314,3
NA,NA,103,0.8213102767821,0.909109265467845,0.754193642998269,NA,NA,NA,NA,1,314,3
NA,NA,104,0.819704815595751,0.90830920451082,0.754935786105508,NA,NA,NA,NA,1,314,3
NA,NA,105,0.818266066098904,0.907532002438281,0.754844065885998,NA,NA,NA,NA,1,314,3
NA,NA,106,0.816885453202814,0.907676775373362,0.754785122075397,NA,NA,NA,NA,1,314,3
NA,NA,107,0.815456813992333,0.907524382810119,0.755231250298208,NA,NA,NA,NA,1,314,3
NA,NA,108,0.813850418891484,0.907684395001524,0.755959171055435,NA,NA,NA,NA,1,314,3
NA,NA,109,0.812463976207263,0.907379609875038,0.756067458186377,NA,NA,NA,NA,1,314,3
NA,NA,11,1.14148225837696,0.895847302651631,0.682821487739817,NA,NA,NA,NA,1,314,3
NA,NA,110,0.810996095670998,0.907295793965255,0.755998603231519,NA,NA,NA,NA,1,314,3
NA,NA,111,0.809699035042951,0.907295793965255,0.75618786294654,NA,NA,NA,NA,1,314,3
NA,NA,112,0.808307450765765,0.907402468759525,0.756213028178687,NA,NA,NA,NA,1,314,3
NA,NA,113,0.806777893685915,0.907181499542822,0.757540220380938,NA,NA,NA,NA,1,314,3
NA,NA,114,0.805535713281623,0.906899573300823,0.757802990162884,NA,NA,NA,NA,1,314,3
NA,NA,115,0.804212139047735,0.906777659250229,0.757805493599055,NA,NA,NA,NA,1,314,3
NA,NA,116,0.802815283775673,0.906754800365742,0.758441922621288,NA,NA,NA,NA,1,314,3
NA,NA,117,0.801626745220775,0.906655745199634,0.757182917983117,NA,NA,NA,NA,1,314,3
NA,NA,118,0.800411394586982,0.906716702224931,0.75729674480333,NA,NA,NA,NA,1,314,3
NA,NA,119,0.798901949670968,0.90578710758915,0.756586061984201,NA,NA,NA,NA,1,314,3
NA,NA,12,1.13287646276251,0.896144468149954,0.685519796782148,NA,NA,NA,NA,1,314,3
NA,NA,120,0.797533222980721,0.905535659859799,0.756332932749887,NA,NA,NA,NA,1,314,3
NA,NA,121,0.796354286167295,0.905368028040232,0.75787580376307,NA,NA,NA,NA,1,314,3
NA,NA,122,0.795199698956914,0.905299451386772,0.756615236599982,NA,NA,NA,NA,1,314,3
NA,NA,123,0.793900361587253,0.904819414812557,0.757289935830958,NA,NA,NA,NA,1,314,3
NA,NA,124,0.792764693357993,0.904529868942396,0.755729193217558,NA,NA,NA,NA,1,314,3
NA,NA,125,0.791569843804058,0.904766077415422,0.757077177346955,NA,NA,NA,NA,1,314,3
NA,NA,126,0.790399537247472,0.904827034440719,0.757398342557023,NA,NA,NA,NA,1,314,3
NA,NA,127,0.789077401402897,0.904507010057909,0.757455759499927,NA,NA,NA,NA,1,314,3
NA,NA,128,0.787960618289512,0.903615513562938,0.757025100509633,NA,NA,NA,NA,1,314,3
