"depth","shrinkage","nTree","loss","auroc","auprc","occ.corr","det.corr","occ.MAE","det.MAE","bag.frac","nSites","nVisits"
NA,NA,1,0.69755118177705,0.927380011590538,0.696856523572293,NA,NA,NA,NA,0.2401,322,3
NA,NA,10,0.417312839118869,0.976455402771192,0.869725061450502,NA,NA,NA,NA,0.2401,322,3
NA,NA,100,0.0619508270938381,0.98869395711501,0.916268379091234,NA,NA,NA,NA,0.2401,322,3
NA,NA,1000,0.00549625939452131,0.988009061693272,0.891047941336202,NA,NA,NA,NA,0.2401,322,3
NA,NA,101,0.0650698283475102,0.988715030820294,0.916286838016336,NA,NA,NA,NA,0.2401,322,3
NA,NA,102,0.0547730106420857,0.988651809704441,0.915674072567795,NA,NA,NA,NA,0.2401,322,3
NA,NA,103,0.0555796030048587,0.988578051735946,0.914521622671581,NA,NA,NA,NA,0.2401,322,3
NA,NA,104,0.0676372865103506,0.988578051735946,0.914008872931502,NA,NA,NA,NA,0.2401,322,3
NA,NA,105,0.0898667975629893,0.988525367472736,0.913980354048552,NA,NA,NA,NA,0.2401,322,3
NA,NA,106,0.0644813768327938,0.988419998946315,0.913053966291328,NA,NA,NA,NA,0.2401,322,3
NA,NA,107,0.0590644937833036,0.988483220062167,0.913370682374382,NA,NA,NA,NA,0.2401,322,3
NA,NA,108,0.0556999402667143,0.988367314683104,0.912622996294348,NA,NA,NA,NA,0.2401,322,3
NA,NA,109,0.0643736013972479,0.988409462093673,0.913091022280364,NA,NA,NA,NA,0.2401,322,3
NA,NA,11,0.362743885027377,0.979079079079079,0.879716550675308,NA,NA,NA,NA,0.2401,322,3
NA,NA,110,0.0569220366801568,0.988409462093673,0.913146849862819,NA,NA,NA,NA,0.2401,322,3
NA,NA,111,0.0700683785564519,0.988704493967652,0.916903889538924,NA,NA,NA,NA,0.2401,322,3
NA,NA,112,0.0677101729491099,0.98869395711501,0.916942657443284,NA,NA,NA,NA,0.2401,322,3
NA,NA,113,0.0765385012876871,0.988736104525578,0.917337212177257,NA,NA,NA,NA,0.2401,322,3
NA,NA,114,0.0619370954252149,0.988672883409725,0.916473942562246,NA,NA,NA,NA,0.2401,322,3
NA,NA,115,0.0586859988057464,0.988556978030662,0.915354469596336,NA,NA,NA,NA,0.2401,322,3
NA,NA,116,0.0522790517392841,0.988588588588589,0.914816120093696,NA,NA,NA,NA,0.2401,322,3
NA,NA,117,0.07358384601647,0.988715030820294,0.916570890491008,NA,NA,NA,NA,0.2401,322,3
NA,NA,118,0.0751388946238859,0.988578051735946,0.914992273903584,NA,NA,NA,NA,0.2401,322,3
NA,NA,119,0.0511366236996996,0.988588588588589,0.915652922562322,NA,NA,NA,NA,0.2401,322,3
NA,NA,12,0.422241169783924,0.979268742426637,0.877055712711998,NA,NA,NA,NA,0.2401,322,3
NA,NA,120,0.0536001872387296,0.988609662293873,0.915649736056238,NA,NA,NA,NA,0.2401,322,3
NA,NA,121,0.0743223011080277,0.988641272851799,0.915820516786265,NA,NA,NA,NA,0.2401,322,3
NA,NA,122,0.0709549640303327,0.988651809704441,0.915995465490626,NA,NA,NA,NA,0.2401,322,3
NA,NA,123,0.0447044058562703,0.988535904325378,0.913998599780345,NA,NA,NA,NA,0.2401,322,3
NA,NA,124,0.0447542518490947,0.988335704125178,0.912240590735074,NA,NA,NA,NA,0.2401,322,3
NA,NA,125,0.0684772431907353,0.988462146356883,0.913398582392101,NA,NA,NA,NA,0.2401,322,3
NA,NA,126,0.0549044739194215,0.988451609504241,0.913230299621155,NA,NA,NA,NA,0.2401,322,3
NA,NA,127,0.0488760596982716,0.98849375691481,0.913831255072327,NA,NA,NA,NA,0.2401,322,3
NA,NA,128,0.0627292785595482,0.988314630419894,0.912654232743609,NA,NA,NA,NA,0.2401,322,3
NA,NA,129,0.0653418724473386,0.98834624097782,0.91295763944283,NA,NA,NA,NA,0.2401,322,3
NA,NA,13,0.306169007571904,0.980354038248775,0.882206429983983,NA,NA,NA,NA,0.2401,322,3
NA,NA,130,0.0566048900591926,0.988261946156683,0.911605360063577,NA,NA,NA,NA,0.2401,322,3
NA,NA,131,0.0535720513487884,0.988356777830462,0.912451341445828,NA,NA,NA,NA,0.2401,322,3
NA,NA,132,0.047248356122749,0.988441072651599,0.913095975492312,NA,NA,NA,NA,0.2401,322,3
NA,NA,133,0.0540692046863762,0.988441072651599,0.913095975492312,NA,NA,NA,NA,0.2401,322,3
NA,NA,134,0.0503986900252324,0.98839892524103,0.912404700597736,NA,NA,NA,NA,0.2401,322,3
NA,NA,135,0.0496366456618057,0.988504293767452,0.913170145447884,NA,NA,NA,NA,0.2401,322,3
NA,NA,136,0.0483358131921109,0.98854644117802,0.913591410157573,NA,NA,NA,NA,0.2401,322,3
NA,NA,137,0.065069236447333,0.988556978030662,0.913649522141025,NA,NA,NA,NA,0.2401,322,3
NA,NA,138,0.0370768712735055,0.988620199146515,0.914279773951323,NA,NA,NA,NA,0.2401,322,3
NA,NA,139,0.0463660258702703,0.988651809704441,0.91458953051108,NA,NA,NA,NA,0.2401,322,3
NA,NA,14,0.31246579096648,0.980064274801117,0.8778096182651,NA,NA,NA,NA,0.2401,322,3
NA,NA,140,0.0491502929006368,0.988651809704441,0.91458953051108,NA,NA,NA,NA,0.2401,322,3
NA,NA,141,0.0452577729308171,0.988651809704441,0.91458953051108,NA,NA,NA,NA,0.2401,322,3
NA,NA,142,0.0620932774622438,0.988672883409725,0.914487931188148,NA,NA,NA,NA,0.2401,322,3
NA,NA,143,0.0473952600530662,0.988725567672936,0.91499013057444,NA,NA,NA,NA,0.2401,322,3
NA,NA,144,0.0569975652565954,0.988767715083505,0.915396659783108,NA,NA,NA,NA,0.2401,322,3
NA,NA,145,0.0451934247065797,0.988662346557083,0.914272553700268,NA,NA,NA,NA,0.2401,322,3
NA,NA,146,0.0473693504697565,0.988704493967652,0.914696797542121,NA,NA,NA,NA,0.2401,322,3
NA,NA,147,0.0371294031507524,0.988778251936147,0.915623664376201,NA,NA,NA,NA,0.2401,322,3
NA,NA,148,0.0422428261953426,0.988788788788789,0.915627404073234,NA,NA,NA,NA,0.2401,322,3
NA,NA,149,0.0416302212875105,0.988715030820294,0.914698656375728,NA,NA,NA,NA,0.2401,322,3
NA,NA,15,0.28893442226729,0.980501554185765,0.877362879956765,NA,NA,NA,NA,0.2401,322,3
NA,NA,150,0.053972131964233,0.988725567672936,0.914962493777428,NA,NA,NA,NA,0.2401,322,3
NA,NA,151,0.0257380046111381,0.988683420262368,0.914391752406313,NA,NA,NA,NA,0.2401,322,3
NA,NA,152,0.0454766617470605,0.988514830620094,0.912434355686112,NA,NA,NA,NA,0.2401,322,3
NA,NA,153,0.0620195360464069,0.988430535798957,0.911885884825642,NA,NA,NA,NA,0.2401,322,3
NA,NA,154,0.0493603879163314,0.988419998946315,0.911658199657754,NA,NA,NA,NA,0.2401,322,3
NA,NA,155,0.0651617451671763,0.988419998946315,0.911922163189872,NA,NA,NA,NA,0.2401,322,3
NA,NA,156,0.0472405465105416,0.988556978030662,0.913673844699935,NA,NA,NA,NA,0.2401,322,3
NA,NA,157,0.0532720249482445,0.98854644117802,0.913560769599072,NA,NA,NA,NA,0.2401,322,3
NA,NA,158,0.0427283083541409,0.988409462093673,0.911910860208288,NA,NA,NA,NA,0.2401,322,3
NA,NA,159,0.0460996928472951,0.988419998946315,0.912006523787631,NA,NA,NA,NA,0.2401,322,3
NA,NA,16,0.343627970782118,0.981049470523155,0.890864106861887,NA,NA,NA,NA,0.2401,322,3
NA,NA,160,0.045890142601859,0.988451609504241,0.912198112881209,NA,NA,NA,NA,0.2401,322,3
NA,NA,161,0.0454549865348818,0.988462146356883,0.912553381995197,NA,NA,NA,NA,0.2401,322,3
NA,NA,162,0.0573485511312595,0.988662346557083,0.91354873988515,NA,NA,NA,NA,0.2401,322,3
NA,NA,163,0.0472508589487084,0.988683420262368,0.913790504955879,NA,NA,NA,NA,0.2401,322,3
NA,NA,164,0.0435996283098393,0.988704493967652,0.913994906039753,NA,NA,NA,NA,0.2401,322,3
NA,NA,165,0.056303554833868,0.988641272851799,0.912980087295433,NA,NA,NA,NA,0.2401,322,3
NA,NA,166,0.0463706279025607,0.988609662293873,0.912830302393327,NA,NA,NA,NA,0.2401,322,3
NA,NA,167,0.0439750289964279,0.988514830620094,0.911746892071404,NA,NA,NA,NA,0.2401,322,3
NA,NA,168,0.0371460882058625,0.988683420262368,0.912888515956417,NA,NA,NA,NA,0.2401,322,3
NA,NA,169,0.0423883589943247,0.988757178230862,0.914073922829964,NA,NA,NA,NA,0.2401,322,3
NA,NA,17,0.320470881080919,0.981534165744692,0.891199820642615,NA,NA,NA,NA,0.2401,322,3
NA,NA,170,0.0528805493166245,0.988757178230862,0.914073922829964,NA,NA,NA,NA,0.2401,322,3
NA,NA,171,0.0421279263809786,0.988620199146515,0.912055974580882,NA,NA,NA,NA,0.2401,322,3
NA,NA,172,0.0514393982781302,0.988620199146515,0.91181309010594,NA,NA,NA,NA,0.2401,322,3
NA,NA,173,0.057540629365838,0.988620199146515,0.911834176336424,NA,NA,NA,NA,0.2401,322,3
NA,NA,174,0.0426237980357467,0.988641272851799,0.912308499001358,NA,NA,NA,NA,0.2401,322,3
NA,NA,175,0.049148669460901,0.988672883409725,0.912388380585796,NA,NA,NA,NA,0.2401,322,3
NA,NA,176,0.0594753680573577,0.988556978030662,0.911468840379836,NA,NA,NA,NA,0.2401,322,3
NA,NA,177,0.0422834900098873,0.988556978030662,0.911468840379836,NA,NA,NA,NA,0.2401,322,3
NA,NA,178,0.0465164117723351,0.988599125441231,0.911883754089387,NA,NA,NA,NA,0.2401,322,3
NA,NA,179,0.0308093668368593,0.988504293767452,0.911317186833896,NA,NA,NA,NA,0.2401,322,3
NA,NA,18,0.288197605235762,0.981355039249776,0.891236597774548,NA,NA,NA,NA,0.2401,322,3
NA,NA,180,0.0297550922847816,0.988525367472736,0.911526288941732,NA,NA,NA,NA,0.2401,322,3
NA,NA,181,0.0421100848616969,0.988430535798957,0.910319345407591,NA,NA,NA,NA,0.2401,322,3
NA,NA,182,0.0407378317949419,0.988419998946315,0.910130223479339,NA,NA,NA,NA,0.2401,322,3
NA,NA,183,0.0405760291308968,0.988441072651599,0.910284882496391,NA,NA,NA,NA,0.2401,322,3
NA,NA,184,0.0526942575353093,0.988419998946315,0.910243993630138,NA,NA,NA,NA,0.2401,322,3
NA,NA,185,0.0551227786524474,0.988388388388388,0.909651663117217,NA,NA,NA,NA,0.2401,322,3
NA,NA,186,0.0376875013070242,0.988525367472736,0.91075896929672,NA,NA,NA,NA,0.2401,322,3
NA,NA,187,0.0376721686419364,0.988651809704441,0.913235559148505,NA,NA,NA,NA,0.2401,322,3
NA,NA,188,0.0419695373256161,0.988651809704441,0.913235559148505,NA,NA,NA,NA,0.2401,322,3
NA,NA,189,0.0312656387704534,0.988683420262368,0.913371917998926,NA,NA,NA,NA,0.2401,322,3
NA,NA,19,0.319266934107358,0.981081081081081,0.886461718454626,NA,NA,NA,NA,0.2401,322,3
NA,NA,190,0.0533941083136349,0.98869395711501,0.913553442029895,NA,NA,NA,NA,0.2401,322,3
NA,NA,191,0.0200503230486356,0.988672883409725,0.91317409861506,NA,NA,NA,NA,0.2401,322,3
NA,NA,192,0.0426673390756313,0.988672883409725,0.91317409861506,NA,NA,NA,NA,0.2401,322,3
NA,NA,193,0.0341510319110729,0.988630735999157,0.91236794767741,NA,NA,NA,NA,0.2401,322,3
NA,NA,194,0.0378794985164425,0.988672883409725,0.91317409861506,NA,NA,NA,NA,0.2401,322,3
NA,NA,195,0.0322322654713941,0.988599125441231,0.912231588826988,NA,NA,NA,NA,0.2401,322,3
NA,NA,196,0.0381935998564501,0.988567514883304,0.912094619117881,NA,NA,NA,NA,0.2401,322,3
NA,NA,197,0.0245985298620902,0.988578051735946,0.912279864492766,NA,NA,NA,NA,0.2401,322,3
NA,NA,198,0.0462248514035227,0.98869395711501,0.913075777717959,NA,NA,NA,NA,0.2401,322,3
NA,NA,199,0.0328894368483615,0.988556978030662,0.910880894021398,NA,NA,NA,NA,0.2401,322,3
NA,NA,2,0.653694290995065,0.932906590801328,0.716917908582115,NA,NA,NA,NA,0.2401,322,3
NA,NA,20,0.198745356346652,0.983910226015489,0.891610755212107,NA,NA,NA,NA,0.2401,322,3
NA,NA,200,0.0347989283031895,0.988578051735946,0.910908181771674,NA,NA,NA,NA,0.2401,322,3
NA,NA,201,0.0236846614824732,0.98854644117802,0.910526862175024,NA,NA,NA,NA,0.2401,322,3
NA,NA,202,0.0327549041954569,0.988504293767452,0.909900434449703,NA,NA,NA,NA,0.2401,322,3
NA,NA,203,0.0326291685837872,0.988525367472736,0.910128952490142,NA,NA,NA,NA,0.2401,322,3
NA,NA,204,0.0310691001353466,0.988462146356883,0.90911702386596,NA,NA,NA,NA,0.2401,322,3
NA,NA,205,0.03588369984878,0.98834624097782,0.908475748133236,NA,NA,NA,NA,0.2401,322,3
NA,NA,206,0.0322835751550312,0.988335704125178,0.90818967577055,NA,NA,NA,NA,0.2401,322,3
NA,NA,207,0.044453294260453,0.988335704125178,0.908202194486087,NA,NA,NA,NA,0.2401,322,3
NA,NA,208,0.0438167772268111,0.988314630419894,0.908095224749196,NA,NA,NA,NA,0.2401,322,3
NA,NA,209,0.0387441436299098,0.988419998946315,0.90873597380118,NA,NA,NA,NA,0.2401,322,3
NA,NA,21,0.218831133764658,0.983193720035825,0.886272404631726,NA,NA,NA,NA,0.2401,322,3
NA,NA,210,0.0303333582326955,0.988409462093673,0.908683068646338,NA,NA,NA,NA,0.2401,322,3
NA,NA,211,0.0352881543284916,0.988356777830462,0.907940444211384,NA,NA,NA,NA,0.2401,322,3
NA,NA,212,0.0448544088993512,0.988356777830462,0.907940444211384,NA,NA,NA,NA,0.2401,322,3
NA,NA,213,0.0321927779912618,0.988335704125178,0.907815498477664,NA,NA,NA,NA,0.2401,322,3
NA,NA,214,0.0341258993054573,0.988283019861967,0.907321251976105,NA,NA,NA,NA,0.2401,322,3
NA,NA,215,0.0230935127273129,0.988356777830462,0.907840036484663,NA,NA,NA,NA,0.2401,322,3
NA,NA,216,0.0303323339748946,0.988377851535746,0.908071474674656,NA,NA,NA,NA,0.2401,322,3
NA,NA,217,0.0274663610376822,0.988462146356883,0.908777666002238,NA,NA,NA,NA,0.2401,322,3
NA,NA,218,0.0249045074814836,0.988472683209525,0.908963899182807,NA,NA,NA,NA,0.2401,322,3
NA,NA,219,0.0267319526818109,0.988472683209525,0.908963899182807,NA,NA,NA,NA,0.2401,322,3
NA,NA,22,0.271716076775911,0.983330699120173,0.889339389772144,NA,NA,NA,NA,0.2401,322,3
NA,NA,220,0.0373004157898503,0.98849375691481,0.909200457317196,NA,NA,NA,NA,0.2401,322,3
