nSites,nVisits,rho,model_id,lr,batch_size,nNeurons,nLayers,mixed_weight
100,3,0,0,0.01,100,0,0,0
100,3,1,0,0.01,100,0,0,0
100,10,0,0,0.01,100,0,0,0
100,10,1,0,0.01,100,0,0,0
1000,3,0,0,0.01,1000,0,0,0
1000,3,1,0,0.01,1000,0,0,0
1000,10,0,0,0.01,1000,0,0,0
1000,10,1,0,0.01,1000,0,0,0
100,3,0,1,0.001,32,16,1,0
100,3,1,1,0.001,100,16,1,0
100,10,0,1,0.001,32,16,1,0
100,10,1,1,0.001,100,16,1,0
1000,3,0,1,0.001,32,16,1,0
1000,3,1,1,0.001,32,32,1,0
1000,10,0,1,0.001,32,32,1,0
1000,10,1,1,0.001,32,8,1,0
100,3,0,2,0.001,100,8,1,0
100,3,1,2,0.001,32,32,3,0.001
100,10,0,2,0.001,32,8,3,0.01
100,10,1,2,0.001,32,8,1,0.001
1000,3,0,2,0.001,32,8,1,0.01
1000,3,1,2,0.001,1000,16,3,0.01
1000,10,0,2,0.001,32,8,3,0.01
1000,10,1,2,0.001,1000,16,3,0.01
